nombre,apellido,usuario_email,usuario_legajo,tipo_vinculo_nombre,dni,cuit,empresa_nombre,disponible,inicio_actividad,total_ordenes,largas,largas_exitosas,medias,medias_exitosas,cortas,cortas_exitosas,pesadas,pesadas_exitosas,livianas,livianas_exitosas,incidencias_graves
Pedro,Gómez,pedro_gomez_32@ejemplar-ml.com,ML-1032,Tercerizado,30214531,99-30214531-4,Maquina Logística S.A.,1,1999-06-09,82,35,25,22,17,25,22,51,40,31,24,1
Miguel,Díaz,miguel_diaz_33@ejemplar-ml.com,ML-1033,Empleado,30214532,99-30214532-2,Maquina Logística S.A.,1,2010-12-08,86,20,17,27,23,39,33,41,33,45,40,1
Miguel,Pérez,miguel_perez_34@ejemplar-ml.com,ML-1034,Empleado,30214533,99-30214533-0,Maquina Logística S.A.,1,1997-05-03,110,38,24,27,21,45,40,63,47,47,38,0
Carlos,Gómez,carlos_gomez_35@ejemplar-ml.com,ML-1035,Tercerizado,30214534,99-30214534-9,Maquina Logística S.A.,1,2002-07-15,97,19,16,19,15,59,52,63,52,34,31,2
Luis,López,luis_lopez_36@ejemplar-ml.com,ML-1036,Monotributo,30214535,99-30214535-7,Maquina Logística S.A.,1,2020-12-08,72,32,14,11,8,29,23,34,20,38,25,5
Pedro,Pérez,pedro_perez_37@ejemplar-ml.com,ML-1037,Empleado,30214536,99-30214536-5,Maquina Logística S.A.,1,2018-07-15,51,27,17,12,9,12,12,25,19,26,19,1
Roberto,González,roberto_gonzalez_38@ejemplar-ml.com,ML-1038,Empleado,30214537,99-30214537-3,Maquina Logística S.A.,1,2000-09-26,118,24,21,23,22,71,62,55,44,63,61,0
Miguel,García,miguel_garcia_39@ejemplar-ml.com,ML-1039,Empleado,30214538,99-30214538-1,Maquina Logística S.A.,1,2008-08-20,106,29,17,31,26,46,40,63,44,43,39,5
Sergio,Rodríguez,sergio_rodriguez_40@ejemplar-ml.com,ML-1040,Empleado,30214539,23-30214539-3,Maquina Logística S.A.,1,1995-05-03,118,19,10,24,15,75,57,65,42,53,40,2
Carlos,Pérez,carlos_perez_41@ejemplar-ml.com,ML-1041,Empleado,30214540,99-30214540-3,Maquina Logística S.A.,1,2024-03-27,49,12,5,11,8,26,20,28,18,21,15,2
Roberto,Pérez,roberto_perez_42@ejemplar-ml.com,ML-1042,Empleado,30214541,99-30214541-1,Maquina Logística S.A.,1,2003-11-02,109,44,36,25,21,40,38,56,44,53,51,1
Sergio,Díaz,sergio_diaz_43@ejemplar-ml.com,ML-1043,Empleado,30214542,23-30214542-3,Maquina Logística S.A.,1,2001-02-19,82,34,30,14,11,34,31,46,39,36,33,0
Luis,Gómez,luis_gomez_44@ejemplar-ml.com,ML-1044,Monotributo,30214543,99-30214543-8,Maquina Logística S.A.,0,2008-08-20,80,28,14,17,15,35,28,45,30,35,27,0
Jorge,Martínez,jorge_martinez_45@ejemplar-ml.com,ML-1045,Tercerizado,30214544,99-30214544-6,Maquina Logística S.A.,1,2008-02-19,86,32,26,16,13,38,35,54,46,32,28,2
Luis,García,luis_garcia_46@ejemplar-ml.com,ML-1046,Empleado,30214545,99-30214545-4,Maquina Logística S.A.,1,2004-05-02,112,35,23,25,22,52,48,47,37,65,56,0
Sergio,Pérez,sergio_perez_47@ejemplar-ml.com,ML-1047,Empleado,30214546,99-30214546-2,Maquina Logística S.A.,1,2005-01-13,125,56,45,27,25,42,41,58,52,67,59,1
Juan,Rodríguez,juan_rodriguez_48@ejemplar-ml.com,ML-1048,Tercerizado,30214547,99-30214547-0,Maquina Logística S.A.,1,2009-06-08,123,45,28,29,20,49,42,50,36,73,54,4
Luis,Rodríguez,luis_rodriguez_49@ejemplar-ml.com,ML-1049,Empleado,30214548,99-30214548-9,Maquina Logística S.A.,1,2005-12-08,103,48,40,20,18,35,34,57,49,46,43,0
Carlos,Pérez,carlos_perez_50@ejemplar-ml.com,ML-1050,Empleado,30214549,99-30214549-7,Maquina Logística S.A.,1,2008-07-15,96,29,22,18,11,49,44,51,38,45,39,3
Roberto,García,roberto_garcia_51@ejemplar-ml.com,ML-1051,Tercerizado,30214550,99-30214550-0,Maquina Logística S.A.,1,1999-08-21,75,23,11,18,15,34,28,50,37,25,17,3
Sergio,Romero,sergio_romero_52@ejemplar-ml.com,ML-1052,Monotributo,30214551,99-30214551-9,Maquina Logística S.A.,1,2024-07-15,78,34,18,14,10,30,21,34,16,44,33,3
Roberto,Díaz,roberto_diaz_53@ejemplar-ml.com,ML-1053,Empleado,30214552,99-30214552-7,Maquina Logística S.A.,1,2018-06-08,73,17,13,20,16,36,35,35,30,38,34,0
Eduardo,Fernández,eduardo_fernandez_54@ejemplar-ml.com,ML-1054,Monotributo,30214553,99-30214553-5,Maquina Logística S.A.,1,1993-11-01,81,17,5,19,15,45,36,35,20,46,36,5
Juan,Rodríguez,juan_rodriguez_55@ejemplar-ml.com,ML-1055,Empleado,30214554,99-30214554-3,Maquina Logística S.A.,1,2013-03-27,75,9,7,22,19,44,42,42,35,33,33,3
Jorge,Rodríguez,jorge_rodriguez_56@ejemplar-ml.com,ML-1056,Empleado,30214555,99-30214555-1,Maquina Logística S.A.,1,1996-11-01,101,38,29,17,14,46,43,48,37,53,49,2
Pedro,Martínez,pedro_martinez_57@ejemplar-ml.com,ML-1057,Empleado,30214556,23-30214556-3,Maquina Logística S.A.,1,2023-11-02,50,20,9,9,7,21,18,31,18,19,16,2
Miguel,Martínez,miguel_martinez_58@ejemplar-ml.com,ML-1058,Empleado,30214557,99-30214557-8,Maquina Logística S.A.,1,2006-06-08,123,37,28,29,22,57,54,72,57,51,47,2
Carlos,Martínez,carlos_martinez_59@ejemplar-ml.com,ML-1059,Tercerizado,30214558,99-30214558-6,Maquina Logística S.A.,1,2022-09-26,67,20,10,14,11,33,29,33,24,34,26,1
Pedro,González,pedro_gonzalez_60@ejemplar-ml.com,ML-1060,Empleado,30214559,99-30214559-4,Maquina Logística S.A.,1,1989-09-26,98,13,7,25,20,60,48,57,40,41,35,2
Luis,López,luis_lopez_61@ejemplar-ml.com,ML-1061,Monotributo,30214560,99-30214560-8,Maquina Logística S.A.,1,2002-11-02,122,42,26,33,24,47,40,73,52,49,38,2
Luis,Díaz,luis_diaz_62@ejemplar-ml.com,ML-1062,Empleado,30214561,99-30214561-6,Maquina Logística S.A.,1,2024-02-19,69,30,21,17,10,22,19,30,23,39,27,2
Juan,Díaz,juan_diaz_63@ejemplar-ml.com,ML-1063,Monotributo,30214562,99-30214562-4,Maquina Logística S.A.,1,2022-01-13,78,27,12,18,15,33,25,41,26,37,26,3
Roberto,Gómez,roberto_gomez_64@ejemplar-ml.com,ML-1064,Monotributo,30214563,99-30214563-2,Maquina Logística S.A.,1,2009-01-13,90,18,15,15,11,57,53,45,40,45,39,0
Pedro,Martínez,pedro_martinez_65@ejemplar-ml.com,ML-1065,Empleado,30214564,99-30214564-0,Maquina Logística S.A.,1,2004-05-02,88,34,32,22,19,32,29,45,39,43,41,0
Luis,González,luis_gonzalez_66@ejemplar-ml.com,ML-1066,Tercerizado,30214565,99-30214565-9,Maquina Logística S.A.,1,2020-02-19,93,44,34,18,17,31,28,46,38,47,41,0
Juan,Fernández,juan_fernandez_67@ejemplar-ml.com,ML-1067,Empleado,30214566,99-30214566-7,Maquina Logística S.A.,1,2013-08-20,63,30,20,13,12,20,17,29,20,34,29,3
Roberto,Pérez,roberto_perez_68@ejemplar-ml.com,ML-1068,Tercerizado,30214567,99-30214567-5,Maquina Logística S.A.,1,2014-02-19,98,31,25,27,22,40,36,37,29,61,54,0
Pedro,Rodríguez,pedro_rodriguez_69@ejemplar-ml.com,ML-1069,Empleado,30214568,99-30214568-3,Maquina Logística S.A.,1,2010-08-21,98,25,19,16,15,57,53,45,36,53,51,0
Carlos,García,carlos_garcia_70@ejemplar-ml.com,ML-1070,Monotributo,30214569,99-30214569-1,Maquina Logística S.A.,1,1993-07-15,96,22,13,34,28,40,32,54,39,42,34,3
Sergio,García,sergio_garcia_71@ejemplar-ml.com,ML-1071,Tercerizado,30214570,99-30214570-5,Maquina Logística S.A.,1,2023-03-28,87,40,32,15,11,32,27,45,32,42,38,2
Sergio,Rodríguez,sergio_rodriguez_72@ejemplar-ml.com,ML-1072,Monotributo,30214571,99-30214571-3,Maquina Logística S.A.,1,2002-07-15,102,37,32,17,13,48,47,60,53,42,39,0
Sergio,Pérez,sergio_perez_73@ejemplar-ml.com,ML-1073,Monotributo,30214572,99-30214572-1,Maquina Logística S.A.,1,2012-03-27,96,25,21,26,23,45,40,47,36,49,48,0
Luis,Fernández,luis_fernandez_74@ejemplar-ml.com,ML-1074,Empleado,30214573,23-30214573-3,Maquina Logística S.A.,1,2003-02-19,99,36,26,25,18,38,32,66,48,33,28,2
José,Gómez,jose_gomez_75@ejemplar-ml.com,ML-1075,Monotributo,30214574,99-30214574-8,Maquina Logística S.A.,1,2007-06-09,76,33,23,14,10,29,24,39,28,37,29,1
Carlos,González,carlos_gonzalez_76@ejemplar-ml.com,ML-1076,Monotributo,30214575,99-30214575-6,Maquina Logística S.A.,1,2004-07-15,124,45,37,25,21,54,47,65,52,59,53,0
Sergio,Rodríguez,sergio_rodriguez_77@ejemplar-ml.com,ML-1077,Empleado,30214576,99-30214576-4,Maquina Logística S.A.,1,2022-01-13,72,21,14,13,10,38,33,48,35,24,22,2
Pedro,Gómez,pedro_gomez_78@ejemplar-ml.com,ML-1078,Empleado,30214577,99-30214577-2,Maquina Logística S.A.,1,1997-09-26,122,49,43,28,28,45,41,61,54,61,58,1
Carlos,García,carlos_garcia_79@ejemplar-ml.com,ML-1079,Monotributo,30214578,99-30214578-0,Maquina Logística S.A.,1,2002-05-03,132,52,45,30,26,50,48,68,57,64,62,0
Roberto,Pérez,roberto_perez_80@ejemplar-ml.com,ML-1080,Tercerizado,30214579,99-30214579-9,Maquina Logística S.A.,1,1993-02-19,88,27,25,19,18,42,41,43,40,45,44,1
Pedro,González,pedro_gonzalez_81@ejemplar-ml.com,ML-1081,Tercerizado,30214580,99-30214580-2,Maquina Logística S.A.,1,2021-01-13,92,30,12,16,12,46,35,50,28,42,31,4
Miguel,Rodríguez,miguel_rodriguez_82@ejemplar-ml.com,ML-1082,Empleado,30214581,99-30214581-0,Maquina Logística S.A.,1,2007-01-14,113,49,30,26,21,38,35,71,54,42,32,4
Carlos,Pérez,carlos_perez_83@ejemplar-ml.com,ML-1083,Empleado,30214582,99-30214582-9,Maquina Logística S.A.,1,2002-02-19,128,43,35,28,24,57,50,65,50,63,59,0
Sergio,García,sergio_garcia_84@ejemplar-ml.com,ML-1084,Tercerizado,30214583,99-30214583-7,Maquina Logística S.A.,1,1997-11-01,146,53,40,33,27,60,59,65,54,81,72,1
Miguel,Pérez,miguel_perez_85@ejemplar-ml.com,ML-1085,Monotributo,30214584,99-30214584-5,Maquina Logística S.A.,1,1997-09-26,142,68,57,33,29,41,37,82,70,60,53,0
Juan,Rodríguez,juan_rodriguez_86@ejemplar-ml.com,ML-1086,Tercerizado,30214585,99-30214585-3,Maquina Logística S.A.,1,2021-03-27,17,8,3,3,3,6,5,9,6,8,5,2
Miguel,González,miguel_gonzalez_87@ejemplar-ml.com,ML-1087,Empleado,30214586,99-30214586-1,Maquina Logística S.A.,1,2008-02-19,103,45,37,18,13,40,36,48,40,55,46,0
José,Gómez,jose_gomez_88@ejemplar-ml.com,ML-1088,Empleado,30214587,23-30214587-3,Maquina Logística S.A.,1,1999-05-03,85,29,25,20,19,36,34,32,28,53,50,1
Pedro,Díaz,pedro_diaz_89@ejemplar-ml.com,ML-1089,Tercerizado,30214588,99-30214588-8,Maquina Logística S.A.,1,2001-09-26,130,37,27,29,26,64,55,51,37,79,71,1
Carlos,López,carlos_lopez_90@ejemplar-ml.com,ML-1090,Tercerizado,30214589,99-30214589-6,Maquina Logística S.A.,1,2020-09-26,118,53,28,24,13,41,34,65,41,53,34,3
Jorge,Romero,jorge_romero_91@ejemplar-ml.com,ML-1091,Tercerizado,30214590,23-30214590-3,Maquina Logística S.A.,1,2011-08-21,60,12,12,12,11,36,33,31,29,29,27,0
José,González,jose_gonzalez_92@ejemplar-ml.com,ML-1092,Monotributo,30214591,99-30214591-8,Maquina Logística S.A.,1,1996-11-01,98,38,34,20,19,40,37,46,40,52,50,0
Juan,Fernández,juan_fernandez_93@ejemplar-ml.com,ML-1093,Empleado,30214592,99-30214592-6,Maquina Logística S.A.,1,1995-05-03,91,32,21,22,19,37,32,49,37,42,35,1
Carlos,Fernández,carlos_fernandez_94@ejemplar-ml.com,ML-1094,Tercerizado,30214593,99-30214593-4,Maquina Logística S.A.,1,2005-09-26,114,37,28,25,21,52,51,58,46,56,54,0
Eduardo,Romero,eduardo_romero_95@ejemplar-ml.com,ML-1095,Tercerizado,30214594,99-30214594-2,Maquina Logística S.A.,1,1997-12-08,89,35,31,21,18,33,29,48,41,41,37,2
Luis,López,luis_lopez_96@ejemplar-ml.com,ML-1096,Empleado,30214595,99-30214595-0,Maquina Logística S.A.,1,2017-05-03,107,38,35,25,23,44,37,52,42,55,53,0
Juan,López,juan_lopez_97@ejemplar-ml.com,ML-1097,Tercerizado,30214596,99-30214596-9,Maquina Logística S.A.,1,2020-03-27,117,56,37,15,9,46,44,53,35,64,55,1
Eduardo,García,eduardo_garcia_98@ejemplar-ml.com,ML-1098,Monotributo,30214597,99-30214597-7,Maquina Logística S.A.,1,2013-08-20,88,42,28,13,13,33,27,48,37,40,31,4
Carlos,Díaz,carlos_diaz_99@ejemplar-ml.com,ML-1099,Empleado,30214598,99-30214598-5,Maquina Logística S.A.,1,2006-08-21,88,33,24,25,22,30,28,51,40,37,34,2
Luis,García,luis_garcia_100@ejemplar-ml.com,ML-1100,Monotributo,30214599,99-30214599-3,Maquina Logística S.A.,1,2013-06-08,78,15,11,19,14,44,39,41,28,37,36,3
